file_id,category,prompt,stage2_dists,stage1_dists
n02691156_10151-6,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10381-1,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10391-3,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10433-3,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10504-2,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10504-3,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10504-7,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10535-1,airplane,A photo of a airplane,0.3997693657875061,0.39837396144866943
n02691156_10535-2,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10578-2,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10578-6,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10603-7,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10622-5,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10718-6,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10718-7,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_1074-4,airplane,A photo of a airplane,0.4068670868873596,0.408448725938797
n02691156_10932-5,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_11016-5,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_11257-9,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_11286-5,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_11379-2,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_11495-1,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_1182-1,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_1182-5,airplane,A photo of a airplane,0.35577186942100525,0.35808297991752625
n02691156_1182-7,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_12022-6,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_12619-8,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_12619-9,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_1270-4,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_14875-4,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_14912-2,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_1512-1,airplane,A photo of a airplane,0.36808478832244873,0.370838463306427
n02691156_1512-6,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_1512-9,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_1917-4,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_196-1,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_2289-4,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_2351-2,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_2351-3,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_2351-4,airplane,A photo of a airplane,0.37091025710105896,0.37030094861984253
n02691156_2383-4,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_24584-4,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_24584-7,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
n02691156_2838-6,airplane,A photo of a airplane,0.37659400701522827,0.3737446069717407
